OTUID	M	B	X	H	T	Y	J	D
OTU575	0	2	1	3	0	3	1	2
OTU576	0	0	1	0	0	0	0	0
OTU577	12	3	8	3	9	2	6	12
OTU578	0	0	0	0	0	0	0	0
OTU579	0	1	2	1	3	0	1	1
OTU580	3	2	4	2	1	0	0	4
OTU581	0	0	0	0	0	1	1	2
OTU582	0	0	2	0	0	3	2	2
OTU583	13	12	7	12	15	13	19	13
OTU584	0	1	3	0	0	0	0	0
OTU585	0	1	0	0	1	0	1	3
OTU586	0	0	0	0	0	0	0	0
OTU587	0	0	0	1	0	0	0	0
OTU588	2	5	10	5	3	5	4	6
OTU589	0	0	2	1	1	0	0	0
OTU590	0	0	0	0	0	0	0	0
OTU591	14	22	16	21	14	8	10	11
OTU592	0	0	0	0	0	0	0	0
OTU593	0	0	0	0	0	0	0	3
OTU594	0	0	0	3	0	1	1	0
OTU595	0	0	0	2	0	0	0	0
OTU596	0	0	2	0	2	1	1	0
OTU597	0	0	0	0	0	0	0	1
OTU598	3	5	4	3	3	5	7	9
OTU599	3	6	8	4	8	8	6	4
OTU600	3	3	6	3	3	6	7	2
OTU601	0	0	0	0	0	0	1	0
OTU602	2	1	2	1	1	2	1	0
OTU603	38	20	25	28	31	26	32	20
OTU604	1	2	2	0	3	0	2	3
OTU605	0	1	2	1	0	1	1	0
OTU606	0	6	2	2	5	5	3	0
OTU607	0	2	1	1	1	0	0	1
OTU608	0	1	3	4	21	0	1	3
OTU609	2	2	2	24	6	7	5	7
OTU610	0	0	0	0	1	2	0	0
OTU611	1	0	0	2	0	4	1	0
OTU612	2	1	1	2	3	2	2	1
OTU613	0	0	0	0	0	0	0	0
OTU614	0	1	0	2	2	0	0	0
OTU615	84	65	64	96	126	85	78	77
OTU616	17	21	20	30	30	25	12	18
OTU617	0	1	2	0	0	4	0	1
OTU618	0	0	0	0	0	0	0	0
OTU619	7	8	6	9	5	13	8	3
OTU620	11	19	18	28	19	10	8	22
OTU621	2	0	1	2	0	1	2	0
OTU622	3	2	4	7	7	3	4	5
OTU623	0	0	2	2	2	2	0	0
OTU624	3	6	2	5	4	4	5	8
OTU625	1	0	1	1	3	1	0	0
OTU626	50	49	55	43	43	47	43	54
OTU627	1	1	0	0	1	0	4	0
OTU628	0	0	0	1	0	0	0	1
OTU629	11	9	18	21	15	20	8	19
OTU630	4	1	3	5	6	4	6	6
OTU631	8	6	7	19	10	9	5	4
OTU632	0	0	0	2	0	2	1	0
OTU633	289	316	242	312	330	314	290	362
OTU634	8	10	4	12	4	13	4	4
OTU635	373	475	328	426	413	450	398	468
OTU636	0	0	2	0	0	0	0	1
OTU637	28	17	27	22	20	25	17	23
OTU638	85	101	118	103	107	88	124	97
OTU639	0	1	0	0	1	1	2	2
OTU640	0	0	8	1	2	6	0	2
OTU641	42	21	27	41	35	33	38	36
OTU642	3	0	0	2	0	2	1	1
OTU643	2	1	1	0	1	3	0	1
OTU644	3	4	3	3	1	2	0	0
OTU645	1	0	0	0	0	0	0	0
OTU646	3	0	1	0	3	2	1	2
OTU647	2	4	10	8	7	6	9	7
OTU648	0	0	0	0	1	7	0	0
OTU649	0	0	0	0	0	0	0	2
OTU650	18	12	25	16	25	20	28	32
OTU651	4	0	4	7	6	7	8	6
OTU652	3	7	8	15	10	9	4	4
OTU653	0	2	0	1	0	0	1	0
OTU654	0	1	0	0	0	2	0	0
OTU655	0	1	0	0	0	0	0	0
OTU656	5	4	3	4	6	11	5	3
OTU657	3	2	3	2	1	2	1	0
OTU658	2	0	1	0	2	0	1	1
OTU659	11	11	8	27	9	24	16	13
OTU660	9	11	8	24	10	16	20	8
OTU661	0	0	0	2	0	0	0	0
